Identificador	Longitud	E-value	%_Identidad
gb|ACE79125.1|	301	1.08882e-163	75.57
dbj|GAB5577474.1|	301	1.7002e-161	73.75
gb|TEA40534.1|	322	3.20406e-161	79.19
gb|KAI4537532.1|	532	6.12992e-154	71.48
gb|KAI4537532.1|	532	8.73115e-99	58.91
gb|KAI4537532.1|	532	2.43781e-98	58.70
gb|ERE78771.1|	706	1.40563e-146	71.53
gb|ERE78771.1|	706	3.91723e-64	61.54
gb|ERE78771.1|	706	3.30271e-15	39.49
gb|ERE78771.1|	706	8.7468e-15	57.14
gb|KAG8522834.1|	491	1.38715e-134	68.99
gb|KAG8522834.1|	491	3.39451e-122	63.64
gb|KAG8522834.1|	491	4.36239e-72	76.87
gb|KAI4580955.1|	371	1.2009e-128	64.51
gb|KAI4580955.1|	371	1.34751e-108	62.07
gb|KAK4829192.1|	277	1.21816e-128	60.54
gb|TEA40533.1|	321	6.03236e-125	64.62
gb|TEA40533.1|	321	3.3552e-75	77.24
gb|XDB57855.1|	302	4.9233e-124	63.64
gb|XFG07649.1|	302	2.89412e-123	63.31
gb|MBN3320982.1|	312	1.76806e-122	54.14
gb|MXQ97855.1|	562	3.64248e-122	62.33
gb|MXQ97855.1|	562	6.00984e-101	56.70
gb|MXQ97855.1|	562	2.14909e-100	61.60
gb|KAF5918676.1|	458	1.53105e-121	61.51
gb|KAF5918676.1|	458	7.01615e-101	49.41
gb|KAI6079970.1|	492	3.99377e-118	65.87
gb|KAI6079970.1|	492	9.12445e-118	60.54
gb|KAI6079970.1|	492	2.76928e-59	65.28
gb|KAI5208935.1|	483	8.33039e-117	59.57
gb|KAI5208935.1|	483	3.41349e-101	50.89
gb|KAI5208935.1|	483	2.00375e-79	85.03
gb|KAI5208935.1|	483	4.87681e-66	71.72
gb|KAI4537531.1|	469	2.03187e-116	61.59
gb|KAI4537531.1|	469	3.25284e-94	57.09
gb|KAI4537531.1|	469	1.58503e-44	70.37
gb|KAF3830071.1|	307	4.253e-110	57.72
gb|EMP24783.1|	269	3.7503e-106	55.10
emb|CAB1341798.1|	406	1.41024e-101	51.19
emb|CAB1341798.1|	406	3.07108e-71	42.52
gb|AAX29557.1|	148	1.60201e-100	99.32
gb|AAX29557.1|	148	3.5222e-100	100.00
gb|MBN3320986.1|	292	2.26789e-100	51.70
ref|NP_000509.1|	147	3.47844e-100	100.00
ref|NP_000509.1|	147	3.47844e-100	100.00
gb|AAX37051.1|	148	3.97271e-100	100.00
gb|AAX37051.1|	148	3.97271e-100	100.00
ref|XP_018891709.1|	147	1.41135e-99	99.32
ref|XP_018891709.1|	147	1.41135e-99	99.32
gb|AAN84548.1|	147	1.47449e-99	99.32
gb|AAN84548.1|	147	1.47449e-99	99.32
gb|ACU56984.1|	147	1.47449e-99	99.32
gb|ACU56984.1|	147	1.47449e-99	99.32
gb|AAZ39780.1|	147	1.47449e-99	99.32
gb|AAZ39780.1|	147	1.47449e-99	99.32
gb|AAD19696.1|	147	1.85537e-99	99.32
gb|AAD19696.1|	147	1.85537e-99	99.32
gb|AKI70610.1|	147	1.85537e-99	99.32
gb|AKI70610.1|	147	1.85537e-99	99.32
pdb|1A3N|B	146	3.30838e-99	100.00
pdb|1A3N|B	146	3.30838e-99	100.00
gb|AKI70611.1|	147	3.3134e-99	99.32
gb|AKI70611.1|	147	3.3134e-99	99.32
gb|QBH68124.1|	147	4.03464e-99	99.32
gb|QBH68124.1|	147	4.03464e-99	99.32
pdb|7K4M|B	148	4.17566e-99	99.32
pdb|7K4M|B	148	4.17566e-99	99.32
gb|AKI70609.1|	147	4.60071e-99	99.32
gb|AKI70609.1|	147	4.60071e-99	99.32
pdb|2YRS|B	146	6.66383e-99	99.32
pdb|2YRS|B	146	6.66383e-99	99.32
gb|AKI70608.1|	147	6.6739e-99	99.32
gb|AKI70608.1|	147	6.6739e-99	99.32
gb|AAA88054.1|	147	6.6739e-99	99.32
gb|AAA88054.1|	147	6.6739e-99	99.32
pdb|1A0U|B	146	8.29386e-99	99.32
pdb|1A0U|B	146	8.29386e-99	99.32
pdb|4MQG|B	146	8.29386e-99	99.32
pdb|4MQG|B	146	8.29386e-99	99.32
pdb|1DXV|B	146	9.56153e-99	100.00
pdb|1DXV|B	146	9.56153e-99	100.00
pdb|1HDB|B	146	9.77306e-99	99.32
pdb|1HDB|B	146	9.77306e-99	99.32
gb|AAL68978.1|	147	1.06831e-98	99.32
gb|AAL68978.1|	147	1.06831e-98	99.32
pdb|1NQP|B	146	1.28475e-98	99.32
pdb|1NQP|B	146	1.28475e-98	99.32
pdb|1K1K|B	146	1.28475e-98	99.32
pdb|1K1K|B	146	1.28475e-98	99.32
pdb|5E29|B	145	1.36988e-98	100.00
pdb|5E29|B	145	1.36988e-98	100.00
gb|AAN11320.1|	147	1.9931e-98	98.64
gb|AAN11320.1|	147	1.9931e-98	98.64
pdb|1Y22|B	146	2.19605e-98	98.63
pdb|1Y22|B	146	2.19605e-98	98.63
pdb|9AV9|B	146	2.39692e-98	99.32
pdb|9AV9|B	146	2.39692e-98	99.32
ref|XP_002822173.1|	147	2.53548e-98	98.64
ref|XP_002822173.1|	147	2.53548e-98	98.64
